,url,cosine,title
7846.txt,http://www.memphis.edu/cs/news_and_events/news/2017_cfia_cansec.php,0.19546099118827195,Student Team Wins Regional Cyber Defense Competition -       	Computer Science      	 - University of Memphis   
7900.txt,http://www.memphis.edu/cs/news_and_events/news/2015_research_day_winners.php,0.1927990413387245,CS Research Day Winners -       	Computer Science      	 - University of Memphis   
7883.txt,http://www.memphis.edu/cs/news_and_events/news/2017_iasp.php,0.19172917796503178,2017 DoD Information Assurance Scholarship Program -       	Computer Science      	 - University of Memphis   
7908.txt,http://www.memphis.edu/cs/news_and_events/news/2017_cfia_local24.php,0.1908055209947031,CfIA Featured on Local 24 News -       	Computer Science      	 - University of Memphis   
6093.txt,http://www.memphis.edu/biology/lab-homayouni/index.php,0.1905050338572699,Dr. Ramin Homayouni Graduate Research Lab -       	Biological Sciences      	 - University of Memphis   
7855.txt,http://www.memphis.edu/cs/news_and_events/news/2015_cansec.php,0.1893525204111562,Student Team Wins 2nd Place at Cyber Defense Competition -       	Computer Science      	 - University of Memphis   
7794.txt,http://www.memphis.edu/cs/courses/graduate.php,0.17251956234123583,Graduate Courses -       	Computer Science      	 - University of Memphis   
7916.txt,http://www.memphis.edu/cs/news_and_events/news/2017_venugopal_ijcai.php,0.16443822780728798,Prof. Venugopal Has Paper Accepted at IJCAI -       	Computer Science      	 - University of Memphis   
7910.txt,http://www.memphis.edu/cs/news_and_events/news/2017_cast_drones_grants.php,0.1523558368850942,CAST and DRONES Research Cluster Grants -       	Computer Science      	 - University of Memphis   
7867.txt,http://www.memphis.edu/cs/news_and_events/news/2015_new_grants.php,0.14952669926709308,Over $1.8M in New Grants for 2015 -       	Computer Science      	 - University of Memphis   
3018.txt,http://www.memphis.edu/cs/people/index.php,0.1472365327274988,Full-Time Faculty -       	Computer Science      	 - University of Memphis   
7929.txt,http://www.memphis.edu/cs/programs/ms_computer_science.php,0.14135957863495838,M.S. Computer Science  -       	Computer Science      	 - University of Memphis   
7833.txt,http://www.memphis.edu/cs/current_students/student_orgs.php,0.13367030529498186,Student Organizations -       	Computer Science      	 - University of Memphis   
7919.txt,http://www.memphis.edu/cs/news_and_events/news/2017_dasgupta_textbook_auth.php,0.13268059279127162,New Text on User Authentication by Prof. Dasgupta -       	Computer Science      	 - University of Memphis   
2438.txt,http://www.memphis.edu/biology/centers/,0.13183322278593015,Centers in Department of Biological Sciences -       	Biological Sciences      	 - University of Memphis   
2435.txt,http://www.memphis.edu/biology/undergraduate/index.php,0.13183322278593015,Undergraduate Resources for Department of Biological Sciences -       	Biological Sciences      	 - University of Memphis   
4663.txt,http://www.memphis.edu/iis/resources/index.php,0.12925925867811783,Resources -       	IIS      	 - University of Memphis   
6091.txt,http://www.memphis.edu/biology/seminars-news/newsletter.php,0.12842725541104136,Department of Biological Sciences Newsletter -       	Biological Sciences      	 - University of Memphis   
1698.txt,http://www.memphis.edu/drs/about/staff.php,0.1268236945882576,DRS Staff & Contact Information -       	Disability Resources for Students      	 - University of Memphis   
9785.txt,http://www.memphis.edu/drs/campusaccess,0.1268236945882576,
7861.txt,http://www.memphis.edu/cs/news_and_events/news/2017_creative_game_design_camp.php,0.1263498352375549,2017 Creative Game Design Camp -       	Computer Science      	 - University of Memphis   
1130.txt,http://www.memphis.edu/rsp/vice_president/research_foundation.php,0.12490569882935232, Research Foundation -       	RSP      	 - University of Memphis   
7934.txt,http://www.memphis.edu/cs/current_students/forms.php,0.1243937338075764,Forms and Documents -       	Computer Science      	 - University of Memphis   
2977.txt,http://www.memphis.edu/physics/SHOPP/2015-spring-topics.php,0.1227071912284553,2015-spring-topics -       	Department of Physics and Materials Science      	 - University of Memphis   
8528.txt,http://www.memphis.edu/efiles/index.htm,0.1227071912284553,
7799.txt,http://www.memphis.edu/cs/people/faculty_pages/dipankar-dasgupta.php,0.12207956978837839,Dipankar Dasgupta -       	Computer Science      	 - University of Memphis   
6767.txt,http://www.memphis.edu/history/undergraduate/scholarships.php,0.12169252963863034,Undergraduate Scholarships -       	Department of History      	 - University of Memphis   
7889.txt,http://www.memphis.edu/cs/news_and_events/news/2017_tigers_tech_expedition.php,0.1207425088439122,Tigers Tech Expedition -       	Computer Science      	 - University of Memphis   
6090.txt,http://www.memphis.edu/biology/people,0.11989661095670856,
6393.txt,http://www.memphis.edu/chem/programs/smacs/index.php,0.11912769171058185,Student Members of the American Chemical Society (SMACS) -       	Department of Chemistry      	 - University of Memphis   
3758.txt,http://www.memphis.edu/cas/future-students/index.php,0.11911292232936432, Resources for Future Students -       	CAS      	 - University of Memphis   
3766.txt,http://www.memphis.edu/gradcatalog/degree_planning/cas/,0.11911292232936432,University of Memphis - Acalog ACMSâ¢
8395.txt,http://www.memphis.edu/cas/graduate/graduate-late-registration-add.php,0.11911292232936432,Late Registration/Adds for Graduate Students -       	CAS      	 - University of Memphis   
7865.txt,http://www.memphis.edu/cs/news_and_events/news/2016_coling.php,0.11628928022251023,Two Papers Accepted at COLING 2016 -       	Computer Science      	 - University of Memphis   
2851.txt,http://www.memphis.edu/msci/about/index.php,0.11541626960246412,About the Math Department -       	Math Sciences      	 - University of Memphis   
6386.txt,http://www.memphis.edu/chem/programs/grad/assistantships.php,0.11443692896343824,Advising  -       	Department of Chemistry      	 - University of Memphis   
415.txt,http://www.memphis.edu/about/directions.php,0.11429126482681323,Directions to Campus -       	About UofM      	 - University of Memphis   
1394.txt,http://www.memphis.edu/wilson,0.11429126482681323,
7887.txt,http://www.memphis.edu/cs/news_and_events/news/2017_cs_research_day.php,0.11419889786749518,2017 CS Research Day Winners -       	Computer Science      	 - University of Memphis   
7866.txt,http://www.memphis.edu/cs/news_and_events/news/2016_vlhcc_best_paper.php,0.11407666698656412,Best Paper Award at VL/HCC 2016 -       	Computer Science      	 - University of Memphis   
7932.txt,http://www.memphis.edu/cfia/projects/gencyber.php,0.113584383628375,GenCyber -       	Center for Information Assurance      	 - University of Memphis   
4657.txt,http://www.memphis.edu/feinstone/purpose/,0.11271950201991156, Purpose -       	Feinstone      	 - University of Memphis   
7858.txt,http://www.memphis.edu/cs/news_and_events/news/2017_daigle_arl.php,0.11227567211269769,Prof. Daigle Receives ARL Grant -       	Computer Science      	 - University of Memphis   
6168.txt,http://www.memphis.edu/eece/programs/phd.php,0.11217638112662967,Doctoral Program -       	EECE      	 - University of Memphis   
3749.txt,http://www.memphis.edu/mediaroom/releases/2017/july17/disasterresiliencegrant.php,0.11195669916706025,Disaster Resilience Grant -       	UofM Media Room      	 - University of Memphis   
7898.txt,http://www.memphis.edu/cs/news_and_events/news/2017_dasgupta_interview_david_fogel.php,0.1112307473086462,Prof. Dasgupta Featured on Interview with David Fogel -       	Computer Science      	 - University of Memphis   
1134.txt,http://www.memphis.edu/hpc/,0.11078789735277172,High Performance Computing -       	High Performance Computing      	 - University of Memphis   
7811.txt,http://www.memphis.edu/cs/people/faculty_pages/james-yu.php,0.10894291673612302,James Yu -       	Computer Science      	 - University of Memphis   
5307.txt,http://www.memphis.edu/drs/assistivetech/loanequip.php,0.10819898513308325,Loan Equipment -       	Disability Resources for Students      	 - University of Memphis   
