,international office,software engineering research,Cookie,president of the university,computer science research awards,semantic similarity,tiger bike's current offer,where is the library located?,How to graduate with honors?,scholarships in computer science
0,http://www.memphis.edu/ehs/stormwater/index.php,http://www.memphis.edu/herff/future_students/visitherff.php,http://www.memphis.edu/herff/students/advising.php,http://www.memphis.edu/ehs/stormwater/index.php,http://www.memphis.edu/cs/news_and_events/news/2017_cfia_cansec.php,http://www.memphis.edu/chem/people/faculty/parrill.php,http://www.memphis.edu/tobacco,http://www.memphis.edu/physics/undergraduate/permit/ugpermit.php,http://www.memphis.edu/ehs/stormwater/index.php,http://www.memphis.edu/cs/news_and_events/news/2017_cfia_cansec.php
1,http://www.memphis.edu/give.htm,http://www.memphis.edu/iis/projects/index.php,http://www.memphis.edu/physics/news/events.php,http://www.memphis.edu/chlhc/contact/index.php,http://www.memphis.edu/cs/news_and_events/news/2015_research_day_winners.php,http://www.memphis.edu/psychology/people/faculty/kreuz.php,http://www.memphis.edu/tobacco/,http://www.memphis.edu/iss/resources/index.php,http://www.memphis.edu/chlhc/contact/index.php,http://www.memphis.edu/cs/news_and_events/news/2015_research_day_winners.php
2,http://www.memphis.edu/chlhc/projects/index.php,http://www.memphis.edu/spahcc/events/registration.php,http://www.memphis.edu/mediaroom/releases/2016/april16/facultyawards.php,http://www.memphis.edu/chlhc/research/hospital_system.php,http://www.memphis.edu/cs/news_and_events/news/2017_iasp.php,http://www.memphis.edu/herff/future_students/computer_req.php,http://www.memphis.edu/biology/,http://www.memphis.edu/iss/resources,http://www.memphis.edu/give.htm,http://www.memphis.edu/cs/news_and_events/news/2017_iasp.php
3,http://www.memphis.edu/chlhc/contact/index.php,http://www.memphis.edu/rsp/vice_president,http://www.memphis.edu/moch/fellowships/index.php,http://www.memphis.edu/chlhc/projects/index.php,http://www.memphis.edu/cs/news_and_events/news/2017_cfia_local24.php,http://www.memphis.edu/herff/about/facultyandstaff.php,http://www.memphis.edu/health/immunization/flu_shots.php,http://www.memphis.edu/earthsciences/contact.php,http://www.memphis.edu/chlhc/research/hospital_system.php,http://www.memphis.edu/cs/people/index.php
4,http://www.memphis.edu/chlhc/research/hospital_system.php,http://www.memphis.edu/iis/people/index.php,http://www.memphis.edu/notice/,http://www.memphis.edu/give.htm,http://www.memphis.edu/biology/lab-homayouni/index.php,http://www.memphis.edu/cs/news_and_events/news/2016_research_asst_prof.php,http://www.memphis.edu/iss/current_international_students,http://www.memphis.edu/vecl,http://www.memphis.edu/chlhc/projects/index.php,http://www.memphis.edu/cs/programs/ms_computer_science.php
5,http://www.memphis.edu/sph/students_alumni/index.php,http://www.memphis.edu/psi/documents/symposium-presentation-jac-framework-dyg-final-10-12-17.pptx,http://www.memphis.edu/herff/future_students/future_undergrad.php,http://www.memphis.edu/sph/students_alumni/index.php,http://www.memphis.edu/cs/news_and_events/news/2015_cansec.php,http://www.memphis.edu/english/graduate/gradcourses.php,http://www.memphis.edu/bluegoesgreen/getinvolved.php,http://www.memphis.edu/suapp/research_and_outreach,http://www.memphis.edu/sph/students_alumni/index.php,http://www.memphis.edu/cs/current_students/student_orgs.php
6,http://www.memphis.edu/herff/future_students/visitherff.php,http://www.memphis.edu/herff/future_students,http://www.memphis.edu/history/faculty/faculty/peter-brand.php,http://www.memphis.edu/herff/future_students/visitherff.php,http://www.memphis.edu/cs/courses/graduate.php,http://www.memphis.edu/internationalmba/,http://www.memphis.edu/parking/permit/priority.php,http://www.memphis.edu/socialwork/research/poverty_fact_sheets.php,http://www.memphis.edu/herff/future_students/visitherff.php,http://www.memphis.edu/cs/news_and_events/news/2017_cfia_local24.php
7,http://www.memphis.edu/rsp/development,http://www.memphis.edu/cs/people/faculty_pages/lan-wang.php,http://www.memphis.edu/afrotc/contact/index.php,http://www.memphis.edu/rsp/development,http://www.memphis.edu/cs/news_and_events/news/2017_venugopal_ijcai.php,http://www.memphis.edu/ssp/apply/testimonials.php,http://www.memphis.edu/iss/international_admissions,http://www.memphis.edu/processimprovement,http://www.memphis.edu/rsp/development,http://www.memphis.edu/biology/lab-homayouni/index.php
8,http://www.memphis.edu/indium/facilities/index.php,http://www.memphis.edu/herff/alumni/events.php,http://www.memphis.edu/umparents/about/mission_goals.php,http://www.memphis.edu/indium/facilities/index.php,http://www.memphis.edu/cs/news_and_events/news/2017_cast_drones_grants.php,http://www.memphis.edu/accolades/2016/students/honors-assembly.php,http://www.memphis.edu/cris/about/staff.php,http://www.memphis.edu/internships/facultyguide,http://www.memphis.edu/indium/facilities/index.php,http://www.memphis.edu/cs/news_and_events/news/2015_cansec.php
9,http://www.memphis.edu/indium/students/index.php,http://www.memphis.edu/et/current/policies.php,http://www.memphis.edu/accolades/2016/research/new-pis.php,http://www.memphis.edu/indium/students/index.php,http://www.memphis.edu/cs/news_and_events/news/2015_new_grants.php,http://www.memphis.edu/cs/news_and_events/news/2017_md2k_meeting.php,http://www.memphis.edu/advocate/,http://www.memphis.edu/earthsciences/programs/index.php,http://www.memphis.edu/indium/students/index.php,http://www.memphis.edu/iis/resources/index.php
10,http://www.memphis.edu/chlhc/publications/index.php,http://www.memphis.edu/umtech/service_catalog/servers_storage/datacenter.php,http://www.memphis.edu/history/computing_resources.php,http://www.memphis.edu/chlhc/publications/index.php,http://www.memphis.edu/cs/people/index.php,http://www.memphis.edu/audit/faq.php,http://www.memphis.edu/registrar/students/selfserv/schedule.php,http://www.memphis.edu/iis/projects/index.php,http://www.memphis.edu/chlhc/publications/index.php,http://www.memphis.edu/cs/current_students/forms.php
11,http://www.memphis.edu/crep/research/,http://www.memphis.edu/cs/news_and_events/news/2015_cansec.php,http://www.memphis.edu/history/focus_afam_southern.php,http://www.memphis.edu/crep/research/,http://www.memphis.edu/cs/programs/ms_computer_science.php,http://www.memphis.edu/cs/news_and_events/news/2017_wang_patent.php,http://www.memphis.edu/planning/people/reza-banai.php,http://www.memphis.edu/enrollment/onestop/index.php,http://www.memphis.edu/crep/research/,http://www.memphis.edu/physics/SHOPP/2015-spring-topics.php
12,http://www.memphis.edu/shs/faculty/index.php,http://www.memphis.edu/iis/resources/index.php,http://www.memphis.edu/earthsciences/faculty_people,http://www.memphis.edu/shs/faculty/index.php,http://www.memphis.edu/cs/current_students/student_orgs.php,http://www.memphis.edu/cognitive-science/,http://www.memphis.edu/tobacco/index.php,http://www.memphis.edu/libraries/instruction/index.php,http://www.memphis.edu/shs/faculty/index.php,http://www.memphis.edu/efiles/index.htm
13,http://www.memphis.edu/sbber/contactus/ryanhanson.php,http://www.memphis.edu/cs/news_and_events/news/2016_bdpa_app_showcase.php,http://www.memphis.edu/ccfa/news/voices/winter2015/bobick.php,http://www.memphis.edu/sbber/contactus/ryanhanson.php,http://www.memphis.edu/cs/news_and_events/news/2017_dasgupta_textbook_auth.php,http://www.memphis.edu/architecture/communityengagement/summerprogram.php,http://www.memphis.edu/bluegoesgreen/contactus.php,http://www.memphis.edu/careerservices/employers/index.php,http://www.memphis.edu/sbber/contactus/ryanhanson.php,http://www.memphis.edu/cs/people/faculty_pages/dipankar-dasgupta.php
14,http://www.memphis.edu/enrollment/onestop/contact_us.php,http://www.memphis.edu/fcbe/programs,http://www.memphis.edu/history/ma_program/,http://www.memphis.edu/enrollment/onestop/contact_us.php,http://www.memphis.edu/biology/centers/,http://www.memphis.edu/psychology/graduate/schmodel.php,http://www.memphis.edu/communications/socialmedia/emojis.php,http://www.memphis.edu/cwc/about/students.php,http://www.memphis.edu/enrollment/onestop/contact_us.php,http://www.memphis.edu/cs/courses/graduate.php
15,http://www.memphis.edu/physics/SHOPP/2015-fall-topics.php,http://www.memphis.edu/bitm/research/abstracts/2013_zhang.php,http://www.memphis.edu/umtech/teaching/umservices/umapps.php,http://www.memphis.edu/physics/SHOPP/2015-fall-topics.php,http://www.memphis.edu/biology/undergraduate/index.php,http://www.memphis.edu/accolades/creative-works/index.php,http://www.memphis.edu/communication/graduate,http://www.memphis.edu/fogelmangalleries/about/contact_us.php,http://www.memphis.edu/physics/SHOPP/2015-fall-topics.php,http://www.memphis.edu/cs/news_and_events/news/2017_venugopal_ijcai.php
16,http://www.memphis.edu/crow/current_research/products.php,http://www.memphis.edu/et/current/fields_of_study.php,http://www.memphis.edu/theatre/productionarchives/2012-2013/normalheart.php,http://www.memphis.edu/crow/current_research/products.php,http://www.memphis.edu/iis/resources/index.php,http://www.memphis.edu/conferences/facilities/vcc.php,http://www.memphis.edu/parking/resources/article3.php,http://www.memphis.edu/polisci/jd-ma-program/index.php,http://www.memphis.edu/crow/current_research/products.php,http://www.memphis.edu/about/directions.php
17,http://www.memphis.edu/cies/donate/index.php,http://www.memphis.edu/uofmglobal/degrees/graduate/certificate-philanthropy-nonprofit-leadership.php,,http://www.memphis.edu/cies/donate/index.php,http://www.memphis.edu/biology/seminars-news/newsletter.php,http://www.memphis.edu/annualgiving/matching.php,http://www.memphis.edu/bluegoesgreen/,http://www.memphis.edu/fogelmangalleries/about/index.php,http://www.memphis.edu/cies/donate/index.php,http://www.memphis.edu/wilson
18,http://www.memphis.edu/indium/seminars/,http://www.memphis.edu/cs/research/student_research.php,,http://www.memphis.edu/indium/seminars/,http://www.memphis.edu/drs/about/staff.php,http://www.memphis.edu/crisis,http://www.memphis.edu/cris/about/hours.php,http://www.memphis.edu/careerservices/alumni/searchjobs.php,http://www.memphis.edu/indium/seminars/,http://www.memphis.edu/cs/news_and_events/news/2016_vlhcc_best_paper.php
19,http://www.memphis.edu/tsf/staff/index.php,http://www.memphis.edu/fcbe/news/archive/2017/fcbe_1031.php,,http://www.memphis.edu/tsf/staff/index.php,http://www.memphis.edu/drs/campusaccess,http://www.memphis.edu/consider/,http://www.memphis.edu/completion/,http://www.memphis.edu/police/incidents/index.php,http://www.memphis.edu/tsf/staff/index.php,http://www.memphis.edu/feinstone/purpose/
20,http://www.memphis.edu/physics/undergraduate/permit/ugpermit.php,http://www.memphis.edu/sete/docs/sirs_summary_form.doc,,http://www.memphis.edu/physics/undergraduate/permit/ugpermit.php,http://www.memphis.edu/cs/news_and_events/news/2017_creative_game_design_camp.php,http://www.memphis.edu/cs/career_opportunities/index.php,http://www.memphis.edu/planning/about/index.php,http://www.memphis.edu/art/programs/bfa_studioarts.php,http://www.memphis.edu/physics/undergraduate/permit/ugpermit.php,http://www.memphis.edu/cs/news_and_events/news/2017_daigle_arl.php
