,url,cosine,title
2450.txt,http://www.memphis.edu/tobacco,0.3080536376673036,
6106.txt,http://www.memphis.edu/tobacco/,0.22857160246253758,Limited-Use Tobacco Policy -       	Limited-Use Tobacco Policy      	 - University of Memphis   
429.txt,http://www.memphis.edu/biology/,0.1995754424871284,Department of Biological Sciences at the University of Memphis -       	Biological Sciences      	 - University of Memphis   
1709.txt,http://www.memphis.edu/health/immunization/flu_shots.php,0.1995754424871284,Flu Shots -       	Student Health Center      	 - University of Memphis   
3683.txt,http://www.memphis.edu/iss/current_international_students,0.18423631704811558,
6122.txt,http://www.memphis.edu/bluegoesgreen/getinvolved.php,0.18423631704811558,Get Involved -       	Tiger Blue Goes Green      	 - University of Memphis   
3505.txt,http://www.memphis.edu/parking/permit/priority.php,0.16652253971829478,Priority Permit Parking -       	Parking & Transportation Services      	 - University of Memphis   
8364.txt,http://www.memphis.edu/iss/international_admissions,0.14639894516026625,
3278.txt,http://www.memphis.edu/cris/about/staff.php,0.1386693873788671,CRIS Staff -       	CRIS      	 - University of Memphis   
996.txt,http://www.memphis.edu/advocate/,0.138200200425265,Advocate for the University of Memphis -       	Advocate for the UofM      	 - University of Memphis   
1829.txt,http://www.memphis.edu/registrar/students/selfserv/schedule.php,0.12767903937093628,View Your Concise Student Schedule  -       	Registrar      	 - University of Memphis   
6016.txt,http://www.memphis.edu/planning/people/reza-banai.php,0.12649984170023135,Reza Banai -       	Planning      	 - University of Memphis   
2445.txt,http://www.memphis.edu/tobacco/index.php,0.12291343084298816,Limited-Use Tobacco Policy -       	Limited-Use Tobacco Policy      	 - University of Memphis   
6120.txt,http://www.memphis.edu/bluegoesgreen/contactus.php,0.12056096929228735,Contact Us -       	Tiger Blue Goes Green      	 - University of Memphis   
3886.txt,http://www.memphis.edu/communications/socialmedia/emojis.php,0.11688704773799694,Emojis -       	Marketing and Communication      	 - University of Memphis   
7176.txt,http://www.memphis.edu/communication/graduate,0.11365724735947792,
9557.txt,http://www.memphis.edu/parking/resources/article3.php,0.1024094281629493,Traffic and Parking Rules and Regulations -       	Parking & Transportation Services      	 - University of Memphis   
6123.txt,http://www.memphis.edu/bluegoesgreen/,0.09663381373250184,Tiger Blue Goes Green -       	Tiger Blue Goes Green      	 - University of Memphis   
642.txt,http://www.memphis.edu/cris/about/hours.php,0.0930432600228589,Hours of Operation -       	CRIS      	 - University of Memphis   
240.txt,http://www.memphis.edu/completion/,0.08948034125000139,Home -       	Completion      	 - University of Memphis   
2397.txt,http://www.memphis.edu/planning/about/index.php,0.08138834167861973,About the Department of City & Regional Planning -       	Planning      	 - University of Memphis   
3677.txt,http://www.memphis.edu/iss/resources/events.php,0.07203085851294444,Events  -       	International Student Services      	 - University of Memphis   
6023.txt,http://www.memphis.edu/planning/programs/undergraduate-study.php,0.07031170824111102,Undergraduate Study -       	Planning      	 - University of Memphis   
8285.txt,http://www.memphis.edu/shs/research/mal_authorship_guidelines.php,0.06539066196308596,Authorship Guidelines -       	SHS      	 - University of Memphis   
4020.txt,http://www.memphis.edu/cwc/resources.php,0.05553678485240341, Resources -       	CWC      	 - University of Memphis   
935.txt,http://www.memphis.edu/herff/future_students/visitherff.php,0.042853849586554665,Visit Herff -       	Herff College of Engineering      	 - University of Memphis   
1822.txt,http://www.memphis.edu/summer/incentives/index.php,0.033254480130606105,Summer School Incentives -       	Summer School      	 - University of Memphis   
4026.txt,http://www.memphis.edu/herff/future_students,0.03316608169050145,
4028.txt,http://www.memphis.edu/herff/alumni/events.php,0.03218534877370999,Upcoming & Recent Events -       	Herff College of Engineering      	 - University of Memphis   
2709.txt,http://www.memphis.edu/accountancy/admissions/financial_assistance.php,0.02935562462968146,Financial Assistance -       	ACCT      	 - University of Memphis   
9617.txt,http://www.memphis.edu/bitm/faculty/,0.02935562462968146, Faculty Profiles -       	BIT      	 - University of Memphis   
2718.txt,http://www.memphis.edu/accountancy/admissions/hot_links.php,0.02885205368586145,Hot Links -       	ACCT      	 - University of Memphis   
9618.txt,http://www.memphis.edu/accountancy/courses,0.02885205368586145,
164.txt,http://www.memphis.edu/workforce/,0.028422080844702765,Workforce Management -       	Workforce Management      	 - University of Memphis   
7074.txt,http://www.memphis.edu/economics/faculty/jpcnnng2.php,0.027809331734746073,JAMEIN CUNNINGHAM -       	ECON      	 - University of Memphis   
2204.txt,http://www.memphis.edu/dualenrollment/hs_counselors/index.php,0.02718010195567692,High School Counselors -       	Dual Enrollment      	 - University of Memphis   
1647.txt,http://www.memphis.edu/gradcatalog/admission_reg/international.php,0.026487165882108987,University of Memphis - Acalog ACMSâ¢
1513.txt,http://www.memphis.edu/lipman/pals/index.php,0.02556714640942423,P.A.L.S. -       	Lipman      	 - University of Memphis   
1465.txt,http://www.memphis.edu/emprelations/guide.php,0.024833931338592106,Performance Management Assessment Reference Guide -       	Employee Relations & Engagement      	 - University of Memphis   
3819.txt,http://www.memphis.edu/ccfa/programs/apply_graduation.php,0.02475311962807214,Apply to Graduate -       	CCFA      	 - University of Memphis   
2836.txt,http://www.memphis.edu/cies/news/index.php,0.023928077440127572,News  -       	The Center for International Education Services      	 - University of Memphis   
1825.txt,http://www.memphis.edu/nursing/index.php,0.023916160970983473,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
4036.txt,http://www.memphis.edu/herff/about/facts.php,0.02364699139395542,Facts at a Glance -       	Herff College of Engineering      	 - University of Memphis   
4033.txt,http://www.memphis.edu/herff/about/accreditation.php,0.023336899449307228,Accreditation -       	Herff College of Engineering      	 - University of Memphis   
5110.txt,http://www.memphis.edu/cdmba/contact/index.php,0.02328660665874916,Contact Us  -       	CDMBA      	 - University of Memphis   
6636.txt,http://www.memphis.edu/me/program/undergraduate/program_objective.php,0.02288514727786806,Program Objective -       	ME      	 - University of Memphis   
8703.txt,http://www.memphis.edu/herff/students,0.022627903647442018,
8621.txt,http://www.memphis.edu/ccfa/resources/faculty_staff/tp_guide.php,0.022546386146417182,Research and Creative Activity -       	CCFA      	 - University of Memphis   
872.txt,http://www.memphis.edu/ccfa/programs/index.php,0.022546386146417182, CCFA Programs -       	CCFA      	 - University of Memphis   
4883.txt,http://www.memphis.edu/benefits/info/process.php,0.022056954660732184,The Process -       	University Benefits Administration      	 - University of Memphis   
1456.txt,http://www.memphis.edu/studentconduct/,0.022056954660732184,Office of Student Conduct -       	Office of Student Conduct      	 - University of Memphis   
8786.txt,http://www.memphis.edu/studentaffairs/about/mission.php,0.0219059050891134,Mission of Student Affairs -       	Student Affairs      	 - University of Memphis   
4213.txt,http://www.memphis.edu/studentaffairs/students/tigerstorydekitra.php,0.0219059050891134,Tiger Story_DeKitra -       	Student Affairs      	 - University of Memphis   
7170.txt,http://www.memphis.edu/communication/graduate/courses.php,0.02182587189434093,Course Offerings -       	Communication      	 - University of Memphis   
983.txt,http://www.memphis.edu/uofmglobal/degrees/humanities.php,0.021797205669196244,Humanities -       	UofM Global      	 - University of Memphis   
4123.txt,http://www.memphis.edu/abroad/funding/financial_aid.php,0.021797205669196244,Funding - Financial Aid -       	Study Abroad      	 - University of Memphis   
2708.txt,http://www.memphis.edu/accountancy/contact/index.php,0.021784102717414478,Contact Us  -       	ACCT      	 - University of Memphis   
933.txt,http://www.memphis.edu/herff/eday.php,0.021525749438552167,E-day -       	Herff College of Engineering      	 - University of Memphis   
7086.txt,http://www.memphis.edu/accountancy/faculty/klambert.php,0.021339020803321996,KENNETH LAMBERT -       	ACCT      	 - University of Memphis   
7190.txt,http://www.memphis.edu/communication/people/stewart.php,0.021337469772095708,Craig O. Stewart -       	Communication      	 - University of Memphis   
2787.txt,http://www.memphis.edu/communication/about/contact.php,0.021337469772095708,Contact Us -       	Communication      	 - University of Memphis   
7929.txt,http://www.memphis.edu/cs/programs/ms_computer_science.php,0.021208659563776995,M.S. Computer Science  -       	Computer Science      	 - University of Memphis   
