,0,1,title
0,0,http://www.memphis.edu,
1,1,http://www.memphis.edu/mlk50/lawsymposium/index.php,Law Symposium -       	MLK50      	 - University of Memphis   
2,2,http://www.memphis.edu/sph/,SPH -       	SPH      	 - University of Memphis   
3,3,http://www.memphis.edu/veterans/programs/,Programs -       	Veterans and Military Student Services      	 - University of Memphis   
4,4,http://www.memphis.edu/contact/,Contact UofM -       	Contact The UofM      	 - University of Memphis   
5,5,http://www.memphis.edu/fac_staff/,UofM Faculty and Staff -       	Faculty and Staff      	 - University of Memphis   
6,6,http://www.memphis.edu/fcbe/,Fogelman College of Business & Economics -       	FCBE      	 - University of Memphis   
7,7,http://www.memphis.edu/students/,Current UofM Students -       	Current Students      	 - University of Memphis   
8,8,http://www.memphis.edu/rsp/,Division of Research and Sponsored Programs -       	RSP      	 - University of Memphis   
9,9,http://www.memphis.edu/aa/,Academic Affairs -       	Academic Affairs      	 - University of Memphis   
10,10,http://www.memphis.edu/nursing/,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
11,11,http://www.memphis.edu/prospective/,The University of Memphis - UofM -       	Prospective Students      	 - University of Memphis   
12,12,http://www.memphis.edu/gradschool/programs/graduatecertificates.php,Graduate Certificate Programs  -       	Graduate School       	 - University of Memphis   
13,13,http://www.memphis.edu/admissions/freshmen/apply_ugrd.php,Apply for Admissions  -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
14,14,http://www.memphis.edu/rsp/cayuse/,Research Portal -       	RSP      	 - University of Memphis   
15,15,http://www.memphis.edu/libraries/special-collections/,Special Collections -       	Libraries      	 - University of Memphis   
16,16,http://www.memphis.edu/uofmglobal/degrees/graduate/graduate-programs.php,Graduate Online Degree Programs -       	UofM Global      	 - University of Memphis   
17,17,http://www.memphis.edu/graduateadmissions/future/apply_grad.php,Apply for Admission -       	Graduate Admissions      	 - University of Memphis   
18,18,http://www.memphis.edu/iei/,IEI -       	IEI      	 - University of Memphis   
19,19,http://www.memphis.edu/athletics/,Tiger Athletics -       	Tiger Athletics      	 - University of Memphis   
20,20,http://www.memphis.edu/web-directory/list.php,UofM Complete List -       	Web Directory      	 - University of Memphis   
21,21,http://www.memphis.edu/wilson/,Wilson School of Hospitality & Resort Management -       	Kemmons Wilson School of Hospitality & Resort Management      	 - University of Memphis   
22,22,http://www.memphis.edu/mediaroom/releases/2017/nov17/studyabroadaccess.php,Study Abroad Access -       	UofM Media Room      	 - University of Memphis   
23,23,http://www.memphis.edu/mediaroom/releases/2017/oct17/2017inventorcelebration.php,2017 Inventor Celebration -       	UofM Media Room      	 - University of Memphis   
24,24,http://www.memphis.edu/admissions/international/apply_intl.php,Apply for Admissions -       	Undergraduate Admissions and Orientation      	 - University of Memphis   
25,25,http://www.memphis.edu/lambuth/,Lambuth -       	UofM Lambuth      	 - University of Memphis   
26,26,http://www.memphis.edu/commencement/graduates/,Graduating Students -       	Commencement Office      	 - University of Memphis   
27,27,http://www.memphis.edu/uofmglobal/degrees/undergraduate/undergrad-programs.php,Undergraduate Online Degree Programs -       	UofM Global      	 - University of Memphis   
28,28,http://www.memphis.edu/csd/,School of Communication Sciences and Disorders -       	School of Communication Sciences and Disorders      	 - University of Memphis   
29,29,http://www.memphis.edu/cris/,Campus Recreation Intramural Services -       	CRIS      	 - University of Memphis   
30,30,http://www.memphis.edu/tsf/,Athletics Development -       	Athletics Development      	 - University of Memphis   
31,31,http://www.memphis.edu/law/,Law -       	School of Law       	 - University of Memphis   
