,0,1,title
0,0,http://www.memphis.edu,
1,1,http://www.memphis.edu/libraries/resources/,Resources -       	Libraries      	 - University of Memphis   
2,2,http://www.memphis.edu/libraries/help/,Ask A Librarian -       	Libraries      	 - University of Memphis   
3,3,http://www.memphis.edu/coe/,COE -       	COE      	 - University of Memphis   
4,4,http://www.memphis.edu/uofmglobal/services/,UofM Global Student Services and Support -       	UofM Global      	 - University of Memphis   
5,5,http://www.memphis.edu/ehs/,Environmental Health and Safety -       	EH&S      	 - University of Memphis   
6,6,http://www.memphis.edu/sph/,SPH -       	SPH      	 - University of Memphis   
7,7,http://www.memphis.edu/fac_staff/,UofM Faculty and Staff -       	Faculty and Staff      	 - University of Memphis   
8,8,http://www.memphis.edu/nursing/,The Loewenberg College of Nursing -       	The Loewenberg College of Nursing      	 - University of Memphis   
9,9,http://www.memphis.edu/law/current-students/course-catalog.php,Course Catalog -       	School of Law       	 - University of Memphis   
10,10,http://www.memphis.edu/uofmglobal/degrees/undergraduate/undergrad-programs.php,Undergraduate Online Degree Programs -       	UofM Global      	 - University of Memphis   
11,11,http://www.memphis.edu/its/,Information Technology Services (ITS) -       	ITS      	 - University of Memphis   
12,12,http://www.memphis.edu/aa/recognition/chairsexcellence/,Chairs of Excellence -       	Academic Affairs      	 - University of Memphis   
13,13,http://www.memphis.edu/libraries/services/,Services -       	Libraries      	 - University of Memphis   
14,14,http://www.memphis.edu/registrar/calendars/,Calendars -       	Registrar      	 - University of Memphis   
15,15,http://www.memphis.edu/truebluetiger/,True Blue Tiger -       	True Blue Tiger      	 - University of Memphis   
16,16,http://www.memphis.edu/gradschool/programs/graduatecertificates.php,Graduate Certificate Programs  -       	Graduate School       	 - University of Memphis   
17,17,http://www.memphis.edu/bf/,Division of Business and Finance -       	Division of Business and Finance      	 - University of Memphis   
18,18,http://www.memphis.edu/registrar/students/records/transcript-official.php,Official Transcript  -       	Registrar      	 - University of Memphis   
19,19,http://www.memphis.edu/web-directory/,UofM Web Directory -       	Web Directory      	 - University of Memphis   
20,20,http://www.memphis.edu/law/current-students/degree-programs.php,Degree Programs  -       	School of Law       	 - University of Memphis   
21,21,http://www.memphis.edu/uofmglobal/degrees/graduate/graduate-programs.php,Graduate Online Degree Programs -       	UofM Global      	 - University of Memphis   
22,22,http://www.memphis.edu/registrar/register/classes.php,Class Offerings -       	Registrar      	 - University of Memphis   
23,23,http://www.memphis.edu/rsp/vice_president/research_centers_institutes.php,Research Centers and Institutes -       	RSP      	 - University of Memphis   
24,24,http://www.memphis.edu/veterans/,Veterans and Military Student Services -       	Veterans and Military Student Services      	 - University of Memphis   
25,25,http://www.memphis.edu/service/opportunities.php,Service Opportunities -       	Student Leadership & Involvement      	 - University of Memphis   
26,26,http://www.memphis.edu/shs/,HSS -       	SHS      	 - University of Memphis   
