freq_1	freq_2	freq_3	freq_4	freq_5	freq_6	freq_7	freq_8	freq_9	freq_10	freq_11	freq_12	freq_13	freq_14	freq_15	freq_16	freq_17	freq_18	freq_19
a	5	5	5	5	0	1	5	23	18	17	5	5	8	28	5	8	25	25	0
ability	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
able	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
abli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
about	0	0	0	0	0	0	0	0	5	1	1	0	1	0	1	1	2	0	0
above	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0
abstract	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
abstraction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
abstractmapreduce	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
abstracts	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ac	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
academic	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
accents	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
acceptable	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
accepted	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
accepts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
access	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
accompany	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0
according	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
account	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
achieve	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
achieves	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
acm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
across	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0
act	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
action	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
actions	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
active	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
acts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
actually	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
adapted	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
adapting	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
adaptive	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
additional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
additions	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
addresses	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
administrivia	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0
admit	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ads	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
adults	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
advanced	4	4	4	4	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0
affairs	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
affiliation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
after	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
afundamentalingredientinthedevelopmentandsuccessof	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
again	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
agents	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
aka	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
alden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
alex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
algorithm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0
algorithms	1	1	1	1	1	0	1	0	1	1	0	0	0	1	0	0	1	0	0
alive	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
all	1	1	1	1	0	1	1	3	5	2	1	0	2	1	2	1	4	1	0
allow	0	0	0	0	0	0	0	0	1	2	0	0	0	7	1	0	0	0	0
allowed	1	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
allowing	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
allows	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
ally	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
alone	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
alongside	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
alphabetic	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
alphabetical	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
alphabetically	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
already	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
also	1	1	1	1	1	0	1	3	1	0	1	0	2	3	2	1	2	2	0
altavista	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
altered	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
alternative	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
although	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
altitude	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
am	5	5	5	5	4	0	5	0	3	0	0	0	0	0	0	0	0	0	0
